student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
DE,272,53.8,1,0,0,0,0
IN,272,20.8,2,0,0,0,0
KE,272,4.9,2,0,0,0,0
RU,272,0.1,1,0,0,0,0
BR,272,0.2,1,0,0,0,0
IN,272,4,1,0,0,0,0
IN,272,57.4,1,0,0,0,0
RO,272,0.7,1,0,0,0,0
US,272,13.6,2,0,0,0,0
KE,4,3,1,0,0,0,1
US,0,83.9,1,0,0,0,1
TN,272,23.1,1,0,0,0,0
GB,272,0.8,1,0,0,0,0
CH,272,7,1,0,0,0,0
IN,272,4.9,1,0,0,0,0
SA,272,0.4,1,0,0,0,0
US,272,5.8,1,0,0,0,0
SE,0,69,1,0,0,0,1
LB,6,41.9,1,0,0,0,1
PT,272,8.7,1,0,0,0,0
IT,109,88.1,2,0,0,0,1
PS,272,2.3,1,0,0,0,0
IN,272,12.4,1,0,0,0,0
IN,272,4.7,1,0,0,0,0
AR,272,28.5,1,0,0,0,0
US,67,5,1,0,0,0,1
EG,272,13.6,4,0,0,0,0
DE,272,0.3,1,0,0,0,0
US,1,7,2,0,0,0,1
EG,272,4,1,0,0,0,0
US,0,196,1,0,0,0,1
ID,271,19.4,1,0,0,0,0
MA,271,12.5,1,0,0,0,0
IN,271,0.3,1,0,0,0,0
AU,271,6.9,1,0,0,0,0
IN,271,0.2,1,0,0,0,0
IN,271,19.5,1,0,0,0,0
US,271,107.5,1,0,0,0,0
PE,0,68.6,1,0,0,0,1
VN,271,4.4,1,0,0,0,0
UZ,271,16.6,1,0,0,0,0
EG,4,48.7,3,0,0,0,1
US,271,5.6,1,0,0,0,0
EG,271,4.8,3,0,0,0,0
IN,271,6.1,2,0,0,0,0
TH,271,1.9,1,0,0,0,0
US,271,21.2,1,0,0,0,0
EG,271,0.9,1,0,0,0,0
EG,271,11.2,1,0,0,0,0
BD,271,6.6,1,0,0,0,0
IN,271,32.9,1,0,0,0,0
PE,271,0.1,1,0,0,0,0
KE,271,3.2,1,0,0,0,0
IN,271,3.9,2,0,0,0,0
EG,271,0.2,1,0,0,0,0
VN,271,1.9,1,0,0,0,0
MA,271,1.8,1,0,0,0,0
US,0,31.8,1,0,0,0,1
TH,271,0.4,1,0,0,0,0
LK,271,17.3,1,0,0,0,0
EG,271,0.8,1,0,0,0,0
AE,0,55.9,1,0,0,0,1
IN,271,3,3,0,0,0,0
TN,271,1.4,1,0,0,0,0
US,271,24,1,0,0,0,0
GB,271,1,1,0,0,0,0
IL,271,74.7,1,0,0,0,0
DZ,271,0.1,1,0,0,0,0
US,271,22.3,2,0,0,0,0
EG,270,0.7,1,0,0,0,0
NG,270,0.4,1,0,0,0,0
CA,2,112.6,1,0,0,0,1
CA,0,39.6,1,0,0,0,1
US,270,0.9,1,0,0,0,0
IN,270,3,1,0,0,0,0
IN,270,71.3,1,0,0,0,0
SA,270,9.5,1,0,0,0,0
HK,270,0.2,1,0,0,0,0
MA,270,28,1,0,0,0,0
ZA,270,55.6,2,0,0,0,0
CH,270,1.9,1,0,0,0,0
IN,270,29.6,1,0,0,0,0
FR,270,2,1,0,0,0,0
GB,270,7.1,1,0,0,0,0
IN,270,2.7,1,0,0,0,0
NP,270,12.1,1,0,0,0,0
AU,4,34.9,1,0,0,0,1
KE,53,138,1,0,0,0,1
AZ,270,1.2,1,0,0,0,0
EG,270,1.5,1,0,0,0,0
BG,270,11.7,1,0,0,0,0
NO,270,11.6,1,0,0,0,0
RO,270,6.6,1,0,0,0,0
CN,270,2,1,0,0,0,0
FR,270,33.4,1,0,0,0,0
ID,270,33,1,0,0,0,0
US,270,0.3,1,0,0,0,0
RU,270,0.4,1,0,0,0,0
BH,270,13.3,1,0,0,0,0
SO,270,17.9,1,0,0,0,0
US,270,14,1,0,0,0,0
AR,270,119.4,1,0,0,0,0
US,270,36.7,1,0,0,0,0
DE,270,59.8,1,0,0,0,0
DE,0,36,1,0,0,0,1
EG,270,0.8,1,0,0,0,0
KH,270,8.1,1,0,0,0,0
PK,270,549.3,7,0,0,0,0
KW,270,0.5,1,0,0,0,0
US,0,79.7,1,0,0,0,1
NG,270,70.8,1,0,0,0,0
IT,270,1.7,1,0,0,0,0
MK,270,59.4,1,0,0,0,0
NG,270,67.9,1,0,0,0,0
IN,270,16.2,1,0,0,0,0
PL,270,15.1,1,0,0,0,0
NG,270,7,1,0,0,0,0
US,269,16.7,1,0,0,0,0
US,0,0.1,1,0,0,0,1
CO,269,478.3,3,0,0,0,0
ID,269,0.5,1,0,0,0,0
US,153,225.1,2,0,0,0,1
NG,269,1.8,1,0,0,0,0
US,269,1.1,1,0,0,0,0
US,269,0.2,1,0,0,0,0
SA,269,6.5,1,0,0,0,0
IQ,269,6.4,1,0,0,0,0
IN,269,5.5,1,0,0,0,0
US,269,128.7,2,0,0,0,0
AU,1,7.6,2,0,0,0,1
KE,269,18.7,1,0,0,0,0
ET,269,3.4,1,0,0,0,0
NG,269,13.1,1,0,0,0,0
OM,269,7.9,1,0,0,0,0
KZ,269,3.1,1,0,0,0,0
FR,269,32.2,1,0,0,0,0
MA,269,0.1,1,0,0,0,0
SG,269,1.7,1,0,0,0,0
IN,269,1.1,1,0,0,0,0
IN,269,58.4,2,0,0,0,0
NG,269,6.5,1,0,0,0,0
SA,269,56.4,1,0,0,0,0
EG,269,65.8,1,0,0,0,0
IN,269,33,1,0,0,0,0
IN,269,1.3,1,0,0,0,0
IN,269,0.2,1,0,0,0,0
US,0,43.4,1,0,0,0,1
CY,269,1.6,1,0,0,0,0
FR,269,26.8,1,0,0,0,0
US,0,75.3,1,0,0,0,1
RW,269,4.2,1,0,0,0,0
EG,269,0.7,1,0,0,0,0
DE,2,69.6,1,0,0,0,1
AE,269,0.9,1,0,0,0,0
IN,269,2.7,1,0,0,0,0
DZ,269,0.1,1,0,0,0,0
ES,269,1.8,1,0,0,0,0
CA,269,28.4,2,0,0,0,0
BY,269,0.7,1,0,0,0,0
AR,269,0.1,1,0,0,0,0
UA,5,144,1,0,0,0,1
JP,269,6,1,0,0,0,0
IN,269,6.2,1,0,0,0,0
NG,269,6.7,1,0,0,0,0
IN,269,0.2,1,0,0,0,0
IN,269,8.7,2,0,0,0,0
SA,269,5.6,1,0,0,0,0
IN,269,0.2,1,0,0,0,0
EG,269,2.9,1,0,0,0,0
ZA,269,51.1,1,0,0,0,0
DE,269,1.8,1,0,0,0,0
US,269,1.3,1,0,0,0,0
US,269,207.4,3,0,0,0,0
GH,269,153.1,3,0,0,0,0
US,269,0.7,1,0,0,0,0
AE,0,0.9,1,0,0,0,1
US,2,136.3,1,0,0,0,1
NG,269,79.2,1,0,0,0,0
GB,0,10.2,1,0,0,0,1
CH,269,13.1,1,0,0,0,0
US,269,6.4,1,0,0,0,0
SA,269,8.8,2,0,0,0,0
MA,268,3,1,0,0,0,0
US,268,22.3,1,0,0,0,0
US,268,18.7,1,0,0,0,0
QA,268,6.5,1,0,0,0,0
EG,268,0.3,1,0,0,0,0
IN,268,6.7,1,0,0,0,0
US,268,0.5,1,0,0,0,0
US,1,43.7,1,0,0,0,1
AU,268,5,1,0,0,0,0
IN,268,11.3,1,0,0,0,0
US,0,44.8,1,0,0,0,1
IN,268,1.2,1,0,0,0,0
KH,268,57.1,1,0,0,0,0
IN,268,260.8,5,0,0,0,0
DE,2,119,2,0,0,0,1
NG,268,1.4,1,0,0,0,0
SA,268,157.3,3,0,0,0,0
HR,2,77.5,2,0,0,0,1
PH,268,705.5,4,0,0,0,0
US,268,13.3,1,0,0,0,0
FR,268,123.6,3,0,0,0,0
ES,268,4.9,1,0,0,0,0
ID,268,0.4,1,0,0,0,0
ET,268,15.6,2,0,0,0,0
IN,268,135.9,2,0,0,0,0
NG,268,53.6,1,0,0,0,0
EG,268,9.3,1,0,0,0,0
NL,268,6.3,1,0,0,0,0
IT,268,0.4,1,0,0,0,0
AE,268,7.5,1,0,0,0,0
PT,268,0.3,1,0,0,0,0
DZ,268,4,1,0,0,0,0
DK,268,12.3,1,0,0,0,0
ZA,268,20.3,2,0,0,0,0
GH,268,15.3,1,0,0,0,0
GR,1,111,1,0,0,0,1
PT,0,52.5,1,0,0,0,1
GH,268,0.5,1,0,0,0,0
IN,13,172.8,4,0,0,0,1
IN,268,20.6,1,0,0,0,0
AE,268,0.5,1,0,0,0,0
IN,268,37.8,1,0,0,0,0
MA,268,5.2,1,0,0,0,0
SE,268,0.1,1,0,0,0,0
US,0,36.5,1,0,0,0,1
DE,0,41.1,1,0,0,0,1
IN,268,2.5,1,0,0,0,0
MA,268,1.4,1,0,0,0,0
TN,268,0.3,1,0,0,0,0
AE,268,0.5,1,0,0,0,0
US,268,39.8,2,0,0,0,0
US,62,45.4,1,0,0,0,1
SO,268,25.7,2,0,0,0,0
US,1,81.8,1,0,0,0,1
MD,268,1,1,0,0,0,0
US,3,0.5,1,0,0,0,1
GB,2,10.6,1,0,0,0,1
NG,268,27.3,1,0,0,0,0
MK,268,1,1,0,0,0,0
US,268,62.5,1,0,0,0,0
GB,267,24.6,1,0,0,0,0
GB,267,0.5,1,0,0,0,0
US,0,29.6,1,0,0,0,1
LK,267,2.3,2,0,0,0,0
GH,267,9.1,1,0,0,0,0
US,0,5.1,1,0,0,0,1
US,7,97.3,2,0,0,0,1
IN,267,56.3,1,0,0,0,0
US,0,70.1,1,0,0,0,1
ID,267,6.8,1,0,0,0,0
IN,267,0.9,1,0,0,0,0
IN,267,5.6,2,0,0,0,0
KR,267,59.4,1,0,0,0,0
CA,267,1.9,1,0,0,0,0
JP,267,0.3,1,0,0,0,0
AE,1,5.3,1,0,0,0,1
US,267,2.1,1,0,0,0,0
IN,267,3.5,2,0,0,0,0
AE,267,19.4,1,0,0,0,0
SA,267,11.3,2,0,0,0,0
IN,267,6.6,1,0,0,0,0
MD,267,201,2,0,0,0,0
SA,267,0.8,1,0,0,0,0
SD,267,76.8,1,0,0,0,0
AU,267,10.4,1,0,0,0,0
US,267,1.2,1,0,0,0,0
US,267,0.4,1,0,0,0,0
SI,267,11.9,1,0,0,0,0
VN,267,11.9,1,0,0,0,0
IN,267,0.7,1,0,0,0,0
SG,0,5.1,1,0,0,0,1
PH,267,47.8,1,0,0,0,0
GE,267,4.9,1,0,0,0,0
DE,0,0.3,1,0,0,0,1
NG,267,0.8,1,0,0,0,0
GR,267,3.9,1,0,0,0,0
SG,1,39.9,1,0,0,0,1
LB,267,53.8,1,0,0,0,0
KE,267,0.1,1,0,0,0,0
ES,267,15.6,1,0,0,0,0
US,0,8.2,1,0,0,0,1
US,0,0.7,1,0,0,0,1
DE,267,8.6,1,0,0,0,0
US,267,1,1,0,0,0,0
CA,14,144,1,0,0,0,1
US,267,52.6,1,0,0,0,0
RS,267,0.5,1,0,0,0,0
CA,267,2.5,1,0,0,0,0
PE,267,0.5,1,0,0,0,0
TR,0,12.4,1,0,0,0,1
NG,267,9.5,1,0,0,0,0
ZA,267,26.3,1,0,0,0,0
DE,0,6.8,1,0,0,0,1
BR,50,10,1,0,0,0,1
EG,267,90.5,3,0,0,0,0
CY,1,51.4,1,0,0,0,1
BR,267,0.5,1,0,0,0,0
DE,267,15.6,2,0,0,0,0
US,267,25.8,3,0,0,0,0
US,267,28.9,1,0,0,0,0
GA,266,20.2,1,0,0,0,0
US,5,66.4,2,0,0,0,1
NG,121,1.5,1,0,0,0,1
MY,266,5.5,1,0,0,0,0
US,266,5.8,1,0,0,0,0
TN,266,8,1,0,0,0,0
US,266,25.7,2,0,0,0,0
IN,266,26.8,1,0,0,0,0
ZA,266,61.4,1,0,0,0,0
PK,266,0.9,1,0,0,0,0
KH,0,3.9,1,0,0,0,1
IN,266,43.7,1,0,0,0,0
IN,186,152.6,4,0,0,0,1
PL,266,46.1,1,0,0,0,0
TR,266,2,1,0,0,0,0
US,266,0.4,1,0,0,0,0
IN,266,63.7,1,0,0,0,0
NP,266,0.2,1,0,0,0,0
EG,266,54.1,1,0,0,0,0
EG,266,0.2,1,0,0,0,0
IN,266,19.6,1,0,0,0,0
IN,266,0.5,1,0,0,0,0
DE,266,4.7,1,0,0,0,0
EG,266,0.4,1,0,0,0,0
TN,266,0.9,1,0,0,0,0
BR,266,0.5,1,0,0,0,0
NG,266,10.2,1,0,0,0,0
EG,266,66.8,1,0,0,0,0
AE,266,6.5,1,0,0,0,0
CA,266,438.6,4,0,0,0,0
IN,39,7.6,2,0,0,0,1
IN,266,0.7,1,0,0,0,0
CA,0,23.8,1,0,0,0,1
IN,266,1,1,0,0,0,0
ZA,266,0.3,1,0,0,0,0
TN,266,8.7,1,0,0,0,0
NG,0,9.8,1,0,0,0,1
DE,266,63.7,2,0,0,0,0
GB,266,0.1,1,0,0,0,0
PL,266,2.8,1,0,0,0,0
US,0,1.3,1,0,0,0,1
IN,266,0.1,1,0,0,0,0
HU,266,6.2,1,0,0,0,0
US,0,39.5,1,0,0,0,1
GB,0,11.9,1,0,0,0,1
DZ,266,18.7,1,0,0,0,0
US,1,54.8,2,0,0,0,1
GH,114,115.8,3,0,0,0,1
CN,265,1.7,1,0,0,0,0
YE,265,13.1,1,0,0,0,0
IN,265,21.7,1,0,0,0,0
BD,265,0.3,1,0,0,0,0
AU,265,11.1,1,0,0,0,0
KE,0,122,1,0,0,0,1
IN,265,15.1,1,0,0,0,0
US,20,89.1,2,0,0,0,1
US,265,8.4,1,0,0,0,0
IN,265,0.1,1,0,0,0,0
US,265,75.1,1,0,0,0,0
IN,265,0.1,1,0,0,0,0
FR,0,133.6,1,0,0,0,1
IE,0,6.5,1,0,0,0,1
US,0,22.2,1,0,0,0,1
IN,265,78.2,1,0,0,0,0
NG,265,16.3,1,0,0,0,0
GE,14,216.2,1,0,0,0,1
IN,265,56.5,4,0,0,0,0
NG,265,3.9,1,0,0,0,0
NG,265,26.7,1,0,0,0,0
NG,265,0.1,1,0,0,0,0
ID,265,0.1,1,0,0,0,0
NG,265,1,1,0,0,0,0
LK,265,5.1,1,0,0,0,0
IN,265,19.3,1,0,0,0,0
IN,265,9.6,2,0,0,0,0
YE,265,51.5,2,0,0,0,0
IN,265,31.6,1,0,0,0,0
IN,265,3.2,1,0,0,0,0
IN,265,0.2,1,0,0,0,0
IN,265,0.2,1,0,0,0,0
SD,265,10.9,1,0,0,0,0
IN,265,10.4,1,0,0,0,0
GB,265,4.9,1,0,0,0,0
US,265,0.3,1,0,0,0,0
BR,265,1.5,1,0,0,0,0
PK,265,1.2,1,0,0,0,0
IN,265,0.7,1,0,0,0,0
IN,265,2.8,1,0,0,0,0
EG,265,0.9,1,0,0,0,0
VN,265,3.5,2,0,0,0,0
US,13,57.7,1,0,0,0,1
NG,265,4.8,1,0,0,0,0
NG,265,57.1,1,0,0,0,0
US,265,20,1,0,0,0,0
MY,265,2.5,1,0,0,0,0
DZ,265,42.9,1,0,0,0,0
NG,265,0.3,1,0,0,0,0
US,265,37.1,1,0,0,0,0
EG,265,0.5,1,0,0,0,0
US,265,0.1,1,0,0,0,0
RS,265,10.9,1,0,0,0,0
PS,264,2.8,2,0,0,0,0
CO,4,177.6,1,0,0,0,1
IN,264,3.4,2,0,0,0,0
MY,264,33.4,1,0,0,0,0
US,264,41.5,1,0,0,0,0
IN,264,2.2,1,0,0,0,0
AE,264,0.4,1,0,0,0,0
IN,264,0.5,1,0,0,0,0
VN,264,0.4,1,0,0,0,0
IN,264,1.1,1,0,0,0,0
NP,264,0.9,1,0,0,0,0
IN,264,29.3,1,0,0,0,0
IN,264,3.4,1,0,0,0,0
MA,264,1.7,1,0,0,0,0
LB,264,1.2,1,0,0,0,0
PK,264,1.5,1,0,0,0,0
EG,264,5.4,1,0,0,0,0
AE,264,38.2,3,0,0,0,0
PK,264,61,1,0,0,0,0
ID,264,91.4,1,0,0,0,0
IN,264,59.8,1,0,0,0,0
IN,264,3.9,1,0,0,0,0
TH,264,1.2,1,0,0,0,0
IN,264,4.7,1,0,0,0,0
IN,264,1.4,1,0,0,0,0
SE,264,11.5,1,0,0,0,0
BR,264,6.4,1,0,0,0,0
TN,264,0.2,1,0,0,0,0
QA,264,57.3,1,0,0,0,0
DE,264,45,1,0,0,0,0
US,264,64,1,0,0,0,0
IN,264,0.1,1,0,0,0,0
IN,264,75.6,1,0,0,0,0
OM,264,0.6,1,0,0,0,0
IN,264,32.2,1,0,0,0,0
NG,2,140.4,1,0,0,0,1
BE,264,109.4,1,0,0,0,0
CH,264,3,1,0,0,0,0
BR,264,1.5,1,0,0,0,0
US,263,44.5,1,0,0,0,0
PH,263,6.1,1,0,0,0,0
PK,263,1,1,0,0,0,0
IN,263,75.5,1,0,0,0,0
US,263,6.5,1,0,0,0,0
RU,263,10.4,1,0,0,0,0
IN,263,0.8,1,0,0,0,0
BD,263,0.3,1,0,0,0,0
TN,263,0.2,1,0,0,0,0
SA,263,0.3,1,0,0,0,0
US,263,1.2,1,0,0,0,0
IN,263,11.7,1,0,0,0,0
US,263,16.7,1,0,0,0,0
IN,263,6.2,2,0,0,0,0
IN,263,4.9,1,0,0,0,0
IN,263,27.6,1,0,0,0,0
IN,263,0.2,1,0,0,0,0
IN,263,0.5,1,0,0,0,0
ID,263,3.2,1,0,0,0,0
IN,263,53.4,3,0,0,0,0
NG,263,45.7,1,0,0,0,0
EG,263,0.6,1,0,0,0,0
PK,263,2.5,1,0,0,0,0
GB,263,4,1,0,0,0,0
BD,263,37.5,1,0,0,0,0
GB,263,1.4,1,0,0,0,0
MA,263,0.8,1,0,0,0,0
US,263,3.8,1,0,0,0,0
EG,263,3,1,0,0,0,0
GB,263,6.8,1,0,0,0,0
NG,263,6.6,1,0,0,0,0
US,0,167.8,1,0,0,0,1
PE,262,1.2,1,0,0,0,0
US,262,1.4,2,0,0,0,0
CR,262,6.6,1,0,0,0,0
MY,262,8.8,1,0,0,0,0
US,262,0.2,1,0,0,0,0
CA,262,1,1,0,0,0,0
EG,262,5.1,1,0,0,0,0
US,262,0.4,1,0,0,0,0
CO,262,1.6,1,0,0,0,0
US,262,19,2,0,0,0,0
US,262,0.2,1,0,0,0,0
GB,262,41.1,1,0,0,0,0
IN,262,10.2,1,0,0,0,0
NG,262,8.2,1,0,0,0,0
AZ,262,0.1,1,0,0,0,0
IN,262,0.4,1,0,0,0,0
CO,262,2.7,1,0,0,0,0
SE,262,0.1,1,0,0,0,0
IN,58,85.4,1,0,0,0,1
NG,262,8.4,2,0,0,0,0
US,262,0.1,1,0,0,0,0
FR,262,0.7,2,0,0,0,0
IN,262,0.2,1,0,0,0,0
IN,262,889.2,9,0,0,0,0
IN,262,14,1,0,0,0,0
EG,262,0.3,1,0,0,0,0
IN,262,13.8,1,0,0,0,0
LT,262,4,1,0,0,0,0
JO,59,20.4,1,0,0,0,1
IN,262,1.2,1,0,0,0,0
IN,262,78,1,0,0,0,0
CA,262,0.1,1,0,0,0,0
IN,262,11.6,1,0,0,0,0
IN,262,54.4,1,0,0,0,0
IN,262,46,1,0,0,0,0
IQ,262,0.3,1,0,0,0,0
DZ,262,4.8,1,0,0,0,0
PK,262,11.7,1,0,0,0,0
CA,262,5.3,1,0,0,0,0
EG,262,6.3,1,0,0,0,0
NL,262,11.7,1,0,0,0,0
NG,262,11.3,1,0,0,0,0
DE,262,20.3,1,0,0,0,0
TN,262,0.2,1,0,0,0,0
NL,262,0.2,1,0,0,0,0
TR,262,9.1,2,0,0,0,0
LU,262,0.4,1,0,0,0,0
US,1,27.3,1,0,0,0,1
US,262,0.3,1,0,0,0,0
TR,262,0.2,1,0,0,0,0
US,261,14.7,1,0,0,0,0
KE,261,1.4,1,0,0,0,0
US,0,114.4,1,0,0,0,1
IN,261,0.2,1,0,0,0,0
UA,261,0.2,1,0,0,0,0
PH,261,64.8,1,0,0,0,0
IL,49,16.7,2,0,0,0,1
AU,261,8.9,1,0,0,0,0
ET,261,9.6,1,0,0,0,0
IN,261,19.7,1,0,0,0,0
CA,261,4.3,1,0,0,0,0
IN,261,1.8,1,0,0,0,0
NL,261,0.8,1,0,0,0,0
IN,37,0.6,1,0,0,0,1
BD,261,2.1,1,0,0,0,0
GB,261,6.2,1,0,0,0,0
AO,261,5.7,1,0,0,0,0
IN,261,30.4,1,0,0,0,0
IN,261,8,2,0,0,0,0
BE,2,33.8,3,0,0,0,1
PS,261,1,1,0,0,0,0
NL,261,5.3,1,0,0,0,0
FR,261,57.2,3,0,0,0,0
GR,261,1,1,0,0,0,0
NG,261,1.2,1,0,0,0,0
NG,261,1.4,1,0,0,0,0
KE,261,1.6,1,0,0,0,0
GH,261,0.2,1,0,0,0,0
US,71,58.8,1,0,0,0,1
US,261,40.9,1,0,0,0,0
RU,261,1.3,1,0,0,0,0
EG,261,1.5,1,0,0,0,0
US,18,41.2,1,0,0,0,1
IN,261,2.6,1,0,0,0,0
MX,261,0.1,1,0,0,0,0
GB,0,9.5,1,0,0,0,1
PL,261,42.9,1,0,0,0,0
ZW,261,0.1,1,0,0,0,0
AR,261,37.9,1,0,0,0,0
LK,261,62.1,1,0,0,0,0
TR,261,83.8,2,0,0,0,0
GB,0,1.4,1,0,0,0,1
KE,261,13.2,1,0,0,0,0
US,261,6,1,0,0,0,0
IE,261,1.1,1,0,0,0,0
IN,261,3.8,1,0,0,0,0
US,261,295.6,2,0,0,0,0
VN,260,6.7,1,0,0,0,0
US,260,2.3,1,0,0,0,0
CM,260,0.4,1,0,0,0,0
IN,260,9.2,1,0,0,0,0
BD,260,44,1,0,0,0,0
AL,260,43.2,1,0,0,0,0
IN,260,1,1,0,0,0,0
KE,260,6.5,1,0,0,0,0
BR,260,0.5,1,0,0,0,0
TR,260,2.8,1,0,0,0,0
MA,260,0.4,1,0,0,0,0
AE,260,0.9,1,0,0,0,0
IN,260,1,1,0,0,0,0
IN,260,8.8,2,0,0,0,0
NG,260,1.6,1,0,0,0,0
PK,260,6.5,2,0,0,0,0
IN,260,0.1,1,0,0,0,0
IN,260,8.6,1,0,0,0,0
ZA,260,0.7,1,0,0,0,0
GB,260,21.2,1,0,0,0,0
HK,260,0.2,1,0,0,0,0
IN,260,0.3,1,0,0,0,0
NG,260,2.5,1,0,0,0,0
CL,260,56.7,1,0,0,0,0
US,260,25.5,1,0,0,0,0
US,260,2,1,0,0,0,0
NG,260,28.1,1,0,0,0,0
FI,260,8.2,1,0,0,0,0
KH,260,52.9,1,0,0,0,0
IN,260,33,1,0,0,0,0
US,260,202.8,3,0,0,0,0
US,260,10.5,1,0,0,0,0
SN,260,0.4,1,0,0,0,0
NP,260,0.1,1,0,0,0,0
IN,260,0.2,1,0,0,0,0
OM,260,13.1,1,0,0,0,0
CA,260,9,2,0,0,0,0
US,260,6.6,1,0,0,0,0
IN,7,60.4,3,0,0,0,1
DE,260,13.7,1,0,0,0,0
GB,260,0.3,1,0,0,0,0
BR,260,2.9,1,0,0,0,0
NP,260,15.7,1,0,0,0,0
MA,260,29.3,1,0,0,0,0
IN,260,6.3,1,0,0,0,0
US,56,21.8,1,0,0,0,1
MY,260,1.3,1,0,0,0,0
US,260,70.2,1,0,0,0,0
PT,260,0.9,1,0,0,0,0
US,260,28.9,1,0,0,0,0
ID,260,5.1,1,0,0,0,0
US,260,3.2,2,0,0,0,0
US,259,0.1,1,0,0,0,0
US,259,1.3,1,0,0,0,0
EG,259,6.6,1,0,0,0,0
BB,259,2.6,1,0,0,0,0
US,259,1.2,1,0,0,0,0
AU,19,40.5,1,0,0,0,1
US,0,17.3,1,0,0,0,1
ID,259,1.1,1,0,0,0,0
EG,259,30.9,3,0,0,0,0
IN,259,7.4,1,0,0,0,0
US,259,6.2,1,0,0,0,0
ET,259,14,1,0,0,0,0
IN,259,7.2,1,0,0,0,0
PK,259,0.1,1,0,0,0,0
IN,259,18.1,1,0,0,0,0
US,259,1.7,1,0,0,0,0
IN,259,4.2,1,0,0,0,0
IN,259,68.5,1,0,0,0,0
US,259,6.8,1,0,0,0,0
KE,259,9.3,1,0,0,0,0
EG,259,53.6,1,0,0,0,0
NG,259,117.3,3,0,0,0,0
TR,259,3.1,1,0,0,0,0
KW,11,108.9,1,0,0,0,1
US,259,26.5,1,0,0,0,0
CA,1,159.7,1,0,0,0,1
US,259,1.3,1,0,0,0,0
IN,259,2.5,1,0,0,0,0
ID,259,5.3,1,0,0,0,0
TR,259,51.9,1,0,0,0,0
GH,259,2.9,1,0,0,0,0
US,0,41.7,1,0,0,0,1
JM,259,1.1,1,0,0,0,0
IN,259,0.1,1,0,0,0,0
LY,259,5.1,1,0,0,0,0
ID,259,9.9,1,0,0,0,0
NG,259,7.1,1,0,0,0,0
US,82,6.6,2,0,0,0,1
BY,259,6.6,1,0,0,0,0
AU,259,1.4,1,0,0,0,0
IN,259,0.1,1,0,0,0,0
NG,259,32.7,2,0,0,0,0
KR,259,2.7,1,0,0,0,0
BR,259,5.1,1,0,0,0,0
IN,259,0.1,1,0,0,0,0
ET,259,4.2,1,0,0,0,0
FR,259,0.8,1,0,0,0,0
IN,259,57.3,1,0,0,0,0
GB,259,18.6,1,0,0,0,0
IN,259,1.4,1,0,0,0,0
KE,259,2.1,1,0,0,0,0
RU,259,0.1,1,0,0,0,0
US,259,16.3,1,0,0,0,0
IN,259,0.3,1,0,0,0,0
IN,259,1.2,1,0,0,0,0
NG,259,37.3,1,0,0,0,0
CL,259,84.4,1,0,0,0,0
SA,259,5.3,1,0,0,0,0
CO,259,5,1,0,0,0,0
PH,259,0.4,1,0,0,0,0
SA,259,39.8,1,0,0,0,0
MX,259,7.3,1,0,0,0,0
US,259,3,1,0,0,0,0
IN,259,42.9,1,0,0,0,0
US,259,18.8,1,0,0,0,0
IN,259,0.1,1,0,0,0,0
IN,259,57.5,2,0,0,0,0
US,259,24.7,1,0,0,0,0
BD,259,10.5,1,0,0,0,0
SA,259,6,1,0,0,0,0
BD,259,2.3,1,0,0,0,0
BD,259,5.5,1,0,0,0,0
US,259,1.7,1,0,0,0,0
NG,27,113,1,0,0,0,1
NO,259,47.9,1,0,0,0,0
FR,259,0.2,1,0,0,0,0
CA,259,290.1,3,0,0,0,0
CO,7,49.4,1,0,0,0,1
BD,259,2.6,1,0,0,0,0
US,259,9.2,1,0,0,0,0
GB,259,6.8,1,0,0,0,0
MX,0,1.2,1,0,0,0,1
ID,258,0.2,1,0,0,0,0
BD,258,67.7,1,0,0,0,0
NG,258,49.5,2,0,0,0,0
US,2,68.3,1,0,0,0,1
PH,258,32.2,1,0,0,0,0
US,0,36.3,1,0,0,0,1
EG,258,1.7,1,0,0,0,0
US,258,8.1,2,0,0,0,0
IN,258,0.1,1,0,0,0,0
IN,258,2.9,1,0,0,0,0
IN,258,0.1,1,0,0,0,0
RO,258,5.2,2,0,0,0,0
KE,258,25.3,1,0,0,0,0
SE,2,12.2,1,0,0,0,1
DE,258,19.2,2,0,0,0,0
IN,258,143,1,0,0,0,0
MY,258,6.8,1,0,0,0,0
NG,258,9.4,1,0,0,0,0
TR,258,0.7,1,0,0,0,0
PH,258,1.2,1,0,0,0,0
NG,258,0.1,1,0,0,0,0
EG,258,0.9,1,0,0,0,0
BR,258,10.5,1,0,0,0,0
ES,0,29,1,0,0,0,1
MY,258,12.8,1,0,0,0,0
EG,258,0.6,1,0,0,0,0
ES,1,90.2,1,0,0,0,1
CA,2,210.2,1,0,0,0,1
DE,258,24.7,1,0,0,0,0
IN,258,71.7,1,0,0,0,0
IN,258,2,1,0,0,0,0
US,0,55.9,1,0,0,0,1
FI,258,64.1,1,0,0,0,0
CA,258,4,1,0,0,0,0
GB,258,10.1,1,0,0,0,0
EG,258,4.4,1,0,0,0,0
TR,258,1.2,1,0,0,0,0
GR,258,73.9,1,0,0,0,0
NG,258,29,1,0,0,0,0
NG,258,0.2,1,0,0,0,0
IN,258,0.1,1,0,0,0,0
ID,258,18.6,1,0,0,0,0
